OriginalOrderInBatch,ExternalSampleID,Mice ID,Birthday,BirthMonth,BirthSeason,CollectionSeason,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,Specimen,Monogamous,ShortSpecies,Altitude,Condition,Sex,Batch,ProjectID,AnimalID,SpeciesAbbreviation,SpeciesLatinNameDetailed,ClusteringBranch,SpeciesColor,ClusteringColor,Age_by_days
55,7137,7137 IS,1/1/2018,1,winter,summer,203877620057_R01C02,1.66,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G07,Is20M,yes,Califor.,NA,NA,M,1,2019-9262,7137,IS,Peromyscus californicus insignis,4,turquoise,turquoise,606
1,37305,37305 BW,9/27/2019,9,summer,winter,203877620077_R01C01,0.083,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A01,H1F,NA,Hybrid,NA,NA,F,1,2019-9262,37305,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,30
2,37304,37304 BW,9/27/2019,9,summer,winter,203877620077_R02C01,0.083,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B01,H1M,NA,Hybrid,NA,NA,M,1,2019-9262,37304,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,30
53,37263,37263 BW,9/19/2019,9,summer,winter,203877620057_R05C01,0.083,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E07,H1F,NA,Hybrid,NA,NA,F,1,2019-9262,37263,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,30
66,37100,37100 BW,7/30/2019,7,summer,winter,203877620078_R06C01,0.25,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B09,H3M,NA,Hybrid,NA,NA,M,1,2019-9262,37100,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,91
70,37103,37103 BW,7/19/2019,7,summer,winter,203877620078_R04C02,0.23,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F09,H3M,NA,Hybrid,NA,NA,M,1,2019-9262,37103,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,84
82,37104,37104 BW,7/19/2019,7,summer,winter,203877620089_R04C02,0.25,100,yes,Peromyscus hybrid polionatus maniculatus,Deer mouse hybrid,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B11,H3F,NA,Hybrid,NA,NA,F,1,2019-9262,37104,NA,Peromyscus hybrid polionatus maniculatus,1,brown,red,91
6,11553,11553 SM2,9/27/2019,9,summer,winter,203877620077_R06C01,0.083,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F01,SM1M,no,Manic.,high,high altitude,M,1,2019-9262,11553,SM2,Peromyscus maniculatus sonoriensis,1,green,red,30
7,23760,23760 LL,9/27/2019,9,summer,winter,203877620077_R01C02,0.083,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G01,LL1M,no,Leuco.,NA,NA,M,1,2019-9262,23760,LL,Peromyscus leucopus,5,yellow,yellow,30
17,36915,36915 BW,6/22/2019,6,summer,winter,203877620014_R05C01,0.41,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A03,BW5M,no,Manic.,low,NA,M,1,2019-9262,36915,BW,Peromyscus maniculatus bairdii,1,green,red,150
18,11555,11555 SM2,9/27/2019,9,summer,winter,203877620014_R06C01,0.083,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B03,SM1F,no,Manic.,high,high altitude,F,1,2019-9262,11555,SM2,Peromyscus maniculatus sonoriensis,1,green,red,30
19,23565,23565 LL,7/22/2019,7,summer,winter,203877620014_R01C02,0.33,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C03,LL4M,no,Leuco.,NA,NA,M,1,2019-9262,23565,LL,Peromyscus leucopus,5,yellow,yellow,120
22,36966,36966 BW,7/20/2019,7,summer,winter,203877620014_R04C02,0.25,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F03,BW3M,no,Manic.,low,NA,M,1,2019-9262,36966,BW,Peromyscus maniculatus bairdii,1,green,red,91
28,36998,36998 BW,7/13/2019,7,summer,winter,203877620025_R04C01,0.33,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D04,BW4F,no,Manic.,low,NA,F,1,2019-9262,36998,BW,Peromyscus maniculatus bairdii,1,green,red,120
35,23759,23759 LL,9/27/2019,9,summer,winter,203877620025_R05C02,0.083,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C05,LL1F,no,Leuco.,NA,NA,F,1,2019-9262,23759,LL,Peromyscus leucopus,5,yellow,yellow,30
46,37166,37166 BW,8/22/2019,8,summer,winter,203877620084_R04C02,0.16,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F06,BW2F,no,Manic.,low,NA,F,1,2019-9262,37166,BW,Peromyscus maniculatus bairdii,1,green,red,58
60,22581,22581 LL,6/7/2018,6,summer,winter,203877620057_R06C02,1.33,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D08,LL16F,no,Leuco.,NA,NA,F,1,2019-9262,22581,LL,Peromyscus leucopus,5,yellow,yellow,485
63,11449,11449 SM2,6/6/2019,6,summer,winter,203877620078_R03C01,0.41,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G08,SM5F,no,Manic.,high,high altitude,F,1,2019-9262,11449,SM2,Peromyscus maniculatus sonoriensis,1,green,red,150
67,23570,23570 LL,7/19/2019,7,summer,winter,203877620078_R01C02,0.33,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C09,LL4M,no,Leuco.,NA,NA,M,1,2019-9262,23570,LL,Peromyscus leucopus,5,yellow,yellow,120
69,23374,23374 LL,5/27/2019,5,summer,winter,203877620078_R03C02,0.41,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E09,LL5F,no,Leuco.,NA,NA,F,1,2019-9262,23374,LL,Peromyscus leucopus,5,yellow,yellow,150
76,22619,22619 LL,7/6/2018,7,summer,winter,203877620089_R04C01,1.33,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D10,LL16F,no,Leuco.,NA,NA,F,1,2019-9262,22619,LL,Peromyscus leucopus,5,yellow,yellow,485
79,35763,35763 BW,8/29/2017,8,summer,winter,203877620089_R01C02,2.16,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G10,BW26F,no,Manic.,low,NA,F,1,2019-9262,35763,BW,Peromyscus maniculatus bairdii,1,green,red,788
83,23155,23155 LL,4/5/2019,4,summer,winter,203877620089_R05C02,0.58,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C11,LL7M,no,Leuco.,NA,NA,M,1,2019-9262,23155,LL,Peromyscus leucopus,5,yellow,yellow,212
90,11482,11482 SM2,7/15/2019,7,summer,winter,203877620067_R06C01,0.33,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B12,SM4F,no,Manic.,high,high altitude,F,1,2019-9262,11482,SM2,Peromyscus maniculatus sonoriensis,1,green,red,120
95,23754,23754 LL,9/27/2019,9,summer,winter,203877620067_R05C02,0.083,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G12,LL9F,no,Leuco.,NA,NA,F,1,2019-9262,23754,LL,Peromyscus leucopus,5,yellow,yellow,30
5,37313,37313 BW,10/7/2019,10,winter,winter,203877620077_R05C01,0.083,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E01,BW1F,no,Manic.,low,NA,F,1,2019-9262,37313,BW,Peromyscus maniculatus bairdii,1,green,red,30
11,23077,23077 LL,3/13/2019,3,winter,winter,203877620077_R05C02,0.75,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C02,LL9F,no,Leuco.,NA,NA,F,1,2019-9262,23077,LL,Peromyscus leucopus,5,yellow,yellow,274
13,11291,11291 SM2,1/31/2019,1,winter,winter,203877620014_R01C01,0.75,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E02,SM9M,no,Manic.,high,high altitude,M,1,2019-9262,11291,SM2,Peromyscus maniculatus sonoriensis,1,green,red,274
24,11118,11118 SM2,10/19/2018,10,winter,winter,203877620014_R06C02,1.08,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H03,SM13F,no,Manic.,high,high altitude,F,1,2019-9262,11118,SM2,Peromyscus maniculatus sonoriensis,1,green,red,394
34,22397,22397 LL,1/19/2018,1,winter,winter,203877620025_R04C02,1.83,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B05,LL22M,no,Leuco.,NA,NA,M,1,2019-9262,22397,LL,Peromyscus leucopus,5,yellow,yellow,668
43,22844,22844 LL,11/22/2018,11,winter,winter,203877620084_R01C02,1,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C06,LL12M,no,Leuco.,NA,NA,M,1,2019-9262,22844,LL,Peromyscus leucopus,5,yellow,yellow,365
48,11123,11123 SM2,10/16/2018,10,winter,winter,203877620084_R06C02,1,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H06,SM12M,no,Manic.,high,high altitude,M,1,2019-9262,11123,SM2,Peromyscus maniculatus sonoriensis,1,green,red,365
51,35270,35270 BW,12/15/2016,12,winter,winter,203877620057_R03C01,2.83,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C07,BW30M,no,Manic.,low,NA,M,1,2019-9262,35270,BW,Peromyscus maniculatus bairdii,1,green,red,1033
61,20911,20911 LL,3/27/2016,3,winter,winter,203877620078_R01C01,3.58,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E08,LL43M,no,Leuco.,NA,NA,M,1,2019-9262,20911,LL,Peromyscus leucopus,5,yellow,yellow,1307
64,20901,20901 LL,3/21/2016,3,winter,winter,203877620078_R04C01,3.58,100,yes,Peromyscus leucopus,White-footed mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H08,LL43M,no,Leuco.,NA,NA,M,1,2019-9262,20901,LL,Peromyscus leucopus,5,yellow,yellow,1307
65,36484,36484 BW,2/6/2019,2,winter,winter,203877620078_R05C01,0.75,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A09,BW9F,no,Manic.,low,NA,M,1,2019-9262,36484,BW,Peromyscus maniculatus bairdii,1,green,red,274
72,22272,22272 LL,11/14/2017,11,winter,winter,203877620078_R06C02,2,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H09,LL24F,no,Leuco.,NA,NA,F,1,2019-9262,22272,LL,Peromyscus leucopus,5,yellow,yellow,730
80,11287,11287 SM2,1/31/2019,1,winter,winter,203877620089_R02C02,0.75,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H10,SM9F,no,Manic.,high,high altitude,F,1,2019-9262,11287,SM2,Peromyscus maniculatus sonoriensis,1,green,red,274
85,37322,37322 BW,10/7/2019,10,winter,winter,203877620067_R01C01,0.083,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E11,BW1M,no,Manic.,low,NA,M,1,2019-9262,37322,BW,Peromyscus maniculatus bairdii,1,green,red,30
86,22987,22987 LL,2/5/2019,2,winter,winter,203877620067_R02C01,0.75,100,yes,Peromyscus leucopus,White-footed mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F11,LL9F,no,Leuco.,NA,NA,F,1,2019-9262,22987,LL,Peromyscus leucopus,5,yellow,yellow,274
89,36613,36613 BW,3/25/2019,3,winter,winter,203877620067_R05C01,0.58,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A12,BW7F,no,Manic.,low,NA,F,1,2019-9262,36613,BW,Peromyscus maniculatus bairdii,1,green,red,212
8,15634,15634 PO,6/25/2018,6,summer,winter,203877620077_R02C02,1.33,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H01,PO16F,yes,Polion.,NA,NA,F,1,2019-9262,15634,PO,Peromyscus polionotus,1,red,red,485
12,15651,15651 PO,7/10/2018,7,summer,winter,203877620077_R06C02,1.25,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D02,PO15M,yes,Polion.,NA,NA,M,1,2019-9262,15651,PO,Peromyscus polionotus,1,red,red,456
14,2661,2661 EP,5/25/2019,5,summer,winter,203877620014_R02C01,0.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F02,EP6F,yes,Eremic.,NA,NA,F,1,2019-9262,2661,EP,Peromyscus eremicus,3,blue,blue,182
15,7573,7573 IS,9/24/2019,9,summer,winter,203877620014_R03C01,0.083,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G02,IS1M,yes,Califor.,NA,NA,M,1,2019-9262,7573,IS,Peromyscus californicus insignis,4,turquoise,turquoise,30
25,7246,7246 IS,6/19/2018,6,summer,winter,203877620025_R01C01,1.33,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A04,IS16M,yes,Califor.,NA,NA,M,1,2019-9262,7246,IS,Peromyscus californicus insignis,4,turquoise,turquoise,485
26,7243,7243 IS,6/18/2018,6,summer,winter,203877620025_R02C01,1.33,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B04,IS16F,yes,Califor.,NA,NA,F,1,2019-9262,7243,IS,Peromyscus californicus insignis,4,turquoise,turquoise,485
30,7516,7516 IS,5/28/2019,5,summer,winter,203877620025_R06C01,0.41,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F04,IS5M,yes,Califor.,NA,NA,M,1,2019-9262,7516,IS,Peromyscus californicus insignis,4,turquoise,turquoise,150
31,2664,2664 EP,6/5/2019,6,summer,winter,203877620025_R01C02,0.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G04,EP6F,yes,Eremic.,NA,NA,F,1,2019-9262,2664,EP,Peromyscus eremicus,3,blue,blue,182
36,16013,16013 PO,9/19/2019,9,summer,winter,203877620025_R06C02,0.083,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D05,PO1M,yes,Polion.,NA,NA,M,1,2019-9262,16013,PO,Peromyscus polionotus,1,red,red,30
39,2630,2630 EP,4/4/2018,4,summer,winter,203877620084_R03C01,1.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G05,EP18F,yes,Eremic.,NA,NA,F,1,2019-9262,2630,EP,Peromyscus eremicus,3,blue,blue,548
40,2629,2629 EP,4/4/2018,4,summer,winter,203877620084_R04C01,1.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H05,EP18F,yes,Eremic.,NA,NA,F,1,2019-9262,2629,EP,Peromyscus eremicus,3,blue,blue,548
41,7509,7509 IS,5/29/2019,5,summer,winter,203877620084_R05C01,0.41,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A06,IS5F,yes,Califor.,NA,NA,F,1,2019-9262,7509,IS,Peromyscus californicus insignis,4,turquoise,turquoise,150
44,15904,15904 PO,5/21/2019,5,summer,winter,203877620084_R02C02,0.41,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D06,PO5M,yes,Polion.,NA,NA,M,1,2019-9262,15904,PO,Peromyscus polionotus,1,red,red,150
45,7233,7233 IS,6/4/2018,6,summer,winter,203877620084_R03C02,1.33,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E06,IS16F,yes,Califor.,NA,NA,F,1,2019-9262,7233,IS,Peromyscus californicus insignis,4,turquoise,turquoise,485
47,2673,2673 EP,7/14/2019,7,summer,winter,203877620084_R05C02,0.25,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G06,EP3M,yes,Eremic.,NA,NA,M,1,2019-9262,2673,EP,Peromyscus eremicus,3,blue,blue,91
49,2647,2647 EP,7/25/2018,7,summer,winter,203877620057_R01C01,1.41,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A07,EP17M,yes,Eremic.,NA,NA,M,1,2019-9262,2647,EP,Peromyscus eremicus,3,blue,blue,515
50,15653,15653 PO,7/13/2018,7,summer,winter,203877620057_R02C01,1.25,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B07,PO15M,yes,Polion.,NA,NA,M,1,2019-9262,15653,PO,Peromyscus polionotus,1,red,red,456
57,7308,7308 IS,9/18/2018,9,summer,winter,203877620057_R03C02,1.08,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A08,IS13F,yes,Califor.,NA,NA,F,1,2019-9262,7308,IS,Peromyscus californicus insignis,4,turquoise,turquoise,394
62,2572,2572 EP,8/15/2017,8,summer,winter,203877620078_R02C01,2.16,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F08,EP26M,yes,Eremic.,NA,NA,M,1,2019-9262,2572,EP,Peromyscus eremicus,3,blue,blue,788
71,2663,2663 EP,5/25/2019,5,summer,winter,203877620078_R05C02,0.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G09,EP6M,yes,Eremic.,NA,NA,M,1,2019-9262,2663,EP,Peromyscus eremicus,3,blue,blue,182
74,15911,15911 PO,5/17/2019,5,summer,winter,203877620089_R02C01,0.41,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B10,PO5F,yes,Polion.,NA,NA,F,1,2019-9262,15911,PO,Peromyscus polionotus,1,red,red,150
77,16008,16008 PO,9/10/2019,9,summer,winter,203877620089_R05C01,0.083,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E10,PO1F,yes,Polion.,NA,NA,F,1,2019-9262,16008,PO,Peromyscus polionotus,1,red,red,30
78,2681,2681 EP,9/11/2019,9,summer,winter,203877620089_R06C01,0.16,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F10,EP2F,yes,Eremic.,NA,NA,F,1,2019-9262,2681,EP,Peromyscus eremicus,3,blue,blue,58
84,2564,2564 EP,5/12/2017,5,summer,winter,203877620089_R06C02,2.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D11,EP30F,yes,Eremic.,NA,NA,F,1,2019-9262,2564,EP,Peromyscus eremicus,3,blue,blue,912
88,7569,7569 IS,9/9/2019,9,summer,winter,203877620067_R04C01,0.083,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H11,IS1F,yes,Califor.,NA,NA,F,1,2019-9262,7569,IS,Peromyscus californicus insignis,4,turquoise,turquoise,30
92,7495,7495 IS,5/13/2019,5,summer,winter,203877620067_R02C02,0.41,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D12,IS5M,yes,Califor.,NA,NA,M,1,2019-9262,7495,IS,Peromyscus californicus insignis,4,turquoise,turquoise,150
93,2565,2565 EP,5/22/2017,5,summer,winter,203877620067_R03C02,2.5,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E12,EP30F,yes,Eremic.,NA,NA,F,1,2019-9262,2565,EP,Peromyscus eremicus,3,blue,blue,912
94,15913,15913 PO,5/24/2019,5,summer,winter,203877620067_R04C02,0.41,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F12,PO9F,yes,Polion.,NA,NA,F,1,2019-9262,15913,PO,Peromyscus polionotus,1,red,red,150
